SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_33-MP,4,9,14,5,OVER_PREF,MP,MATH_AUTONOMY,8.83333333333333,9,22692.8333333333,6,6,0.5
session_33-MP,4,9,14,5,OVER_PREF,MP,MATH_BOREDOM,0,0,11004.619047619,0,21,1
session_33-MP,4,9,14,5,OVER_PREF,MP,MATH_FLOW,5.61538461538462,6,20799.3846153846,1,12,0.923076923076923
session_33-MP,4,9,14,5,OVER_PREF,MP,MATH_OVERLOAD,14.9,15,28008.5,9,1,0.1
session_36-SP,5,8,0,3,OVER_PREF,SP,MATH_AUTONOMY,9.3125,10,16280.625,4,12,0.75
session_36-SP,5,8,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,9993.30434782609,0,23,1
session_36-SP,5,8,0,3,OVER_PREF,SP,MATH_FLOW,7,7,15155.5882352941,1,16,0.941176470588235
session_36-SP,5,8,0,3,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28008.8,10,0,0
session_38-MP,4,3,17,-1,UNDER_PREF,MP,MATH_AUTONOMY,4.57142857142857,5,19810.0714285714,1,13,0.928571428571429
session_38-MP,4,3,17,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,12369.8421052632,0,19,1
session_38-MP,4,3,17,-1,UNDER_PREF,MP,MATH_FLOW,6,6,17949.4,1,14,0.933333333333333
session_38-MP,4,3,17,-1,UNDER_PREF,MP,MATH_OVERLOAD,14.9,15,28000.7,9,1,0.1
session_39-MP,1,3,9,2,OVER_PREF,MP,MATH_AUTONOMY,3.5,3.5,18429.8571428571,4,10,0.714285714285714
session_39-MP,1,3,9,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10720.9545454545,0,22,1
