"participant.code","team_id","condition","difficulty_round3","difficulty_round4","difficulty_round5","difficulty_round6","easy_success_rate","easy_trials","easy_timeups","easy_avg_time","easy_correct_trials","optimal_selected_success_rate","optimal_selected_trials","optimal_selected_timeups","optimal_selected_avg_time","optimal_selected_correct_trials","optimal_calibrated_success_rate","optimal_calibrated_trials","optimal_calibrated_timeups","optimal_calibrated_avg_time","optimal_calibrated_correct_trials","hard_success_rate","hard_trials","hard_timeups","hard_avg_time","hard_correct_trials","hp_easy_points","hp_optimal_points","hp_hard_points","hp_easy_discussion_time","hp_optimal_discussion_time","hp_hard_discussion_time","hp_easy_next_button","hp_optimal_next_button","hp_hard_next_button"
"0fakmdd1","hl0w9n42_LEY3YMSLBH","jitsi","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,10,7,23701.5,10,0.666666666666667,9,8,27496.7777777778,6,0.777777777777778,9,7,26244.1111111111,7,0,9,9,28027,0,10,15,15,280.781,277.259,243.907,TRUE,TRUE,TRUE
"11acb578","89vmiwh4_4R6MOPQL2T","chat","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,17,0,13003.6470588235,17,0.714285714285714,14,1,16512.0714285714,10,0.857142857142857,14,1,16725.7857142857,12,0,9,8,27220.8888888889,0,10,15,15,294.962,214.899,284.754,TRUE,TRUE,TRUE
"1yhiz6zs","t3qwth58_3J7K0L3FVA","chat","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,16,0,13278.1875,16,0.555555555555556,9,6,26360.3333333333,5,0.833333333333333,12,1,20334.4166666667,10,0.333333333333333,9,6,27359.8888888889,3,15,15,10,NA,300.012,300.003,TRUE,TRUE,TRUE
"2i2eejgs","t3qwth58_KXLZG0FDAC","chat","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,9,9,28026.7777777778,9,1,9,9,28031.4444444444,9,1,9,9,28022.3333333333,9,0,9,9,28025.7777777778,0,10,15,10,NA,NA,NA,TRUE,TRUE,TRUE
"4god9rit","ktkvejty_OTUDMWN9FG","chat","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,17,0,13104.3529411765,17,0.6,10,4,24770.5,6,1,13,0,17007.2307692308,13,0.333333333333333,9,8,27788.2222222222,3,15,15,15,279.182,238.489,300.025,TRUE,TRUE,TRUE
"4y58f7pn","ht2tpvxx_06HMN4B79X","jitsi","Easy","Optimal_Calibrated","Hard","Optimal_Selected",1,16,1,14153.4375,16,0.846153846153846,13,1,17028.8461538462,11,0.928571428571429,14,0,16596.1428571429,13,0.111111111111111,9,8,27867.5555555556,1,15,15,15,108.299,228.567,138.785,TRUE,TRUE,TRUE
"50k2ak4c","1dv6li5p_W6J5IC19WK","jitsi","Easy","Optimal_Calibrated","Hard","Optimal_Selected",0.833333333333333,18,0,12156.2222222222,15,0.846153846153846,13,2,17016.1538461538,11,0.785714285714286,14,1,15650.0714285714,11,0,9,8,26950.1111111111,0,15,10,10,59.281,173.365,278.928,TRUE,TRUE,TRUE
"54jyvztp","sqxavppu_Q4TQKZCN7Q","chat","Hard","Easy","Optimal_Selected","Optimal_Calibrated",0.866666666666667,15,0,15131.9333333333,13,1,12,2,19018.3333333333,12,0.916666666666667,12,2,19211,11,0,9,9,28028.3333333333,0,10,15,15,NA,300.005,NA,TRUE,TRUE,TRUE
"5clw7m9q","gpiyfg5m_5IH1ZUP6JG","chat","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,9,9,28033,9,0.555555555555556,9,9,28031.5555555556,5,0.777777777777778,9,9,28035.4444444444,7,0.111111111111111,9,9,28027.6666666667,1,15,10,10,246.041,295.417,300.055,TRUE,TRUE,TRUE
"5vscsw35","a28vvwro_7KHC4S4MF4","jitsi","Easy","Optimal_Calibrated","Hard","Optimal_Selected",1,15,0,15333.3333333333,15,0.818181818181818,11,1,22495.5454545455,9,1,11,1,21777.9090909091,11,0.111111111111111,9,7,26972.3333333333,1,15,15,15,282.953,300.033,250.828,TRUE,TRUE,TRUE
