SessionID,Condition,ClientID,SurveyID,ConditionOrder,SubjectID,Treatment,Age,Gender,Handedness,FirstLanguage,EnglishAbilities,ColorVision,Major,ProductiveTime_08to10,ProductiveTime_10to12,ProductiveTime_12to14,ProductiveTime_14to16,ProductiveTime_16to18,ProductiveTime_18to20,valence,arousal,importanceImportant,importanceNoMistakes,importanceWorried,flowProne.General,flowProne.Work,flowProne.Maint,flowProne.Leis,eqIntrusDistracting,eqIntrusDifficult,eqIntrusDiscomfort,taskPrefLikeMath,taskPrefLikeWrit,taskPrefMathOverWrit,traitIntMot,interactionDissatisfactionUnpleasant,interactionDissatisfactionLongerWorse,interactionDissatisfactionEnergizing,interactionDissatisfactionBadCorrection,relationQuality,grpEffort,interdepOwnJob,interdepCommRequired,interdepMutualDependenc,clearGoal,challGoal,noChallGoal,noConseqGoal,conseqGoal,grpSizeTooLarge,grpSizeTooSmall,grpSizeJustRight,grpDivers,grpSkill,grpAffectExp,genSat,growth,colEff,socPres,coordDifficult,coordPossible,identFusion,relationStrain,unevenEffort,unevenSkill,noCareForGrp,frustratingGrp,creativitySuppressingGrp
session_33-MP,START,iism-kd2-b12,645,"",session_33-MP_iism-kd2-b12,MP,24,F,R,Finnish,C1,I can see all colors and hues.,Natural Sciences > Earth and related environmental sciences,"","","","",Y,Y,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_33-MP,START,iism-kd2-b14,647,"",session_33-MP_iism-kd2-b14,MP,20,M,R,German,C1,I can see all colors and hues.,"Engineering and Technology > Electrical engineering, electronic engineering, information engineering",Y,Y,"","","","",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_33-MP,START,iism-kd2-b18,646,"",session_33-MP_iism-kd2-b18,MP,21,M,R,Hungarian,C1,I can see all colors and hues.,Engineering and Technology > Mechanical engineering,"","","","",Y,Y,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_33-MP,PHASE,iism-kd2-b12,667,"",session_33-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,1,5,6,,,,,1,2,2,,,,,2,2,4,3,2.5,5.33333333333333,3,5,5,3.5,6,2,3,2,2,3,5,4.5,3,4,4,1,,2.4,3,5,2,4,2,3,1,4,1
session_33-MP,PHASE,iism-kd2-b14,668,"",session_33-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,4,3,1,,,,,1,1,1,,,,,2,4,4,3,4.5,5,3,4,6,4.5,2,6,6,5,3,1,6,5.5,3,4.66666666666667,4,3,4.75,2.8,2,3,2,2,3,5,2,4,4
session_33-MP,PHASE,iism-kd2-b18,666,"",session_33-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,5,6,5,,,,,3,2,5,,,,,2,6,5,6,5,4,3,7,7,2.5,5,5,4,4,4,4,5,4.5,4.33333333333333,6.66666666666667,5,6,5.25,3.2,2,2,3,4,6,6,3,3,5
session_33-MP,END,iism-kd2-b12,670,"",session_33-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,3.71428571428571,4,3.42857142857143,3.71428571428571,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_33-MP,END,iism-kd2-b14,671,"",session_33-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,4,4.28571428571429,3.57142857142857,4.14285714285714,,,,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_33-MP,END,iism-kd2-b18,669,"",session_33-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,4.14285714285714,3.71428571428571,4.14285714285714,4.57142857142857,,,,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_36-SP,START,iism-kd2-b16,644,"",session_36-SP_iism-kd2-b16,SP,20,M,R,German,C1,I can see all colors and hues.,Natural Sciences > Physical sciences,Y,"","","","","",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_36-SP,PHASE,iism-kd2-b16,661,"",session_36-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,4,4,2,,,,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_36-SP,END,iism-kd2-b16,662,"",session_36-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,,,,3.85714285714286,3.14285714285714,3.71428571428571,4.71428571428571,,,,6,2,6,5.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,START,iism-kd2-b12,799,"",session_38-MP_iism-kd2-b12,MP,18,M,R,German,B2,I can see all colors and hues.,Natural Sciences > Computer and information sciences,"",Y,Y,"","","",7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,START,iism-kd2-b14,800,"",session_38-MP_iism-kd2-b14,MP,23,M,R,German,C1,I can see all colors and hues.,Engineering and Technology > Mechanical engineering,Y,Y,"","","","",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,START,iism-kd2-b18,798,"",session_38-MP_iism-kd2-b18,MP,19,M,R,Indonesian (Bahasa Indonesia),B2,I can see all colors and hues.,Natural Sciences > Computer and information sciences,"","","","",Y,"",5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,PHASE,iism-kd2-b12,824,"",session_38-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,3,3,2,,,,,7,6,7,,,,,2,3,5,2,5,5,2,6,4,4.5,4,5,4,5,2,1,6,6,6,4.33333333333333,5,3.5,4.5,3.8,5,6,2,4,3,2,3,4,1
session_38-MP,PHASE,iism-kd2-b14,825,"",session_38-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,2,,2,,,,,2,2,2,,,,,5,2,5,1,5.5,4.66666666666667,4,3,4,3.5,3,4,4,4,2,4,3,4.5,4,5.33333333333333,4,6,5.75,5.8,3,5,3,5,4,5,3,6,5
session_38-MP,PHASE,iism-kd2-b18,823,"",session_38-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,3,5,5,,,,,1,1,1,,,,,5,4,4,4,3.5,3,3,3,7,4.5,4,4,2,6,1,3,3,4,3,5.33333333333333,4.5,5,3.25,4.6,4,6,2,4,5,5,2,3,4
session_38-MP,END,iism-kd2-b12,827,"",session_38-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,3.95238095238095,4.28571428571429,3.71428571428571,3.85714285714286,,,,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,END,iism-kd2-b14,826,"",session_38-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,4.14285714285714,3.71428571428571,4,4.71428571428571,,,,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_38-MP,END,iism-kd2-b18,828,"",session_38-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,3.71428571428571,3.42857142857143,3.57142857142857,4.14285714285714,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,START,iism-kd2-b12,834,"",session_39-MP_iism-kd2-b12,MP,28,F,L,German,C1,I can see all colors and hues.,Natural Sciences > Mathematics,"","","",Y,Y,"",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,START,iism-kd2-b14,835,"",session_39-MP_iism-kd2-b14,MP,21,M,R,German,C1,I can see all colors and hues.,Social Sciences > Educational sciences,"","","",Y,Y,Y,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,START,iism-kd2-b18,833,"",session_39-MP_iism-kd2-b18,MP,21,M,R,German,B1,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,"",Y,"","",Y,Y,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,PHASE,iism-kd2-b12,848,"",session_39-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,2,5,5,,,,,1,2,6,,,,,2,4,4,3,5.5,5.33333333333333,2,5,6,5.5,3,4,2,5,2,1,6,6,5.33333333333333,6,5.5,4,5,3.6,6,5,4,2,2,2,3,2,4
session_39-MP,PHASE,iism-kd2-b14,850,"",session_39-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,4,5,2,,,,,7,6,6,,,,,3,3,4,6,3,3.66666666666667,3,3,5,4.5,3,5,4,5,1,2,5,5,5,4,3,3,4.5,4.4,2,3,,3,5,3,5,5,5
session_39-MP,PHASE,iism-kd2-b18,849,"",session_39-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,2,6,4,,,,,6,5,7,,,,,4,2,3,1,4.5,5.33333333333333,3,2,5,6,1,6,6,3,1,1,6,7,6,3.66666666666667,4,2.5,2.75,1.8,3,5,2,3,2,2,4,5,1
session_39-MP,END,iism-kd2-b12,853,"",session_39-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,4.28571428571429,3.85714285714286,4.57142857142857,4.42857142857143,,,,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,END,iism-kd2-b14,852,"",session_39-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,3.85714285714286,3.57142857142857,3.28571428571429,4.71428571428571,,,,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-MP,END,iism-kd2-b18,851,"",session_39-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,4.23809523809524,3.71428571428571,4.42857142857143,4.57142857142857,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-SP,START,iism-kd2-b16,797,"",session_39-SP_iism-kd2-b16,SP,22,M,R,German,C2,I can see all colors and hues.,Engineering and Technology > Chemical engineering,"","",Y,"",Y,Y,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-SP,PHASE,iism-kd2-b16,817,"",session_39-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,5,3,5,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_39-SP,END,iism-kd2-b16,818,"",session_39-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,,,,3.14285714285714,3.14285714285714,3.14285714285714,3.14285714285714,,,,6,2,7,5.92857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,START,iism-kd2-b12,855,"",session_41-MP_iism-kd2-b12,MP,23,F,R,German,C1,I can see all colors and hues.,Natural Sciences > Chemical sciences,Y,"",Y,Y,"","",8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,START,iism-kd2-b14,856,"",session_41-MP_iism-kd2-b14,MP,22,F,R,German,C1,I can see all colors and hues.,Engineering and Technology > Mechanical engineering,"",Y,"","","","",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,START,iism-kd2-b18,854,"",session_41-MP_iism-kd2-b18,MP,21,F,R,Albanian,B2,I can see all colors and hues.,"Engineering and Technology > Electrical engineering, electronic engineering, information engineering","","","","",Y,Y,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,PHASE,iism-kd2-b12,877,"",session_41-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,6,6,6,,,,,6,7,7,,,,,3,2,6,6,6,6.33333333333333,2,7,6,6.5,2,6,3,6,1,2,6,5.5,5.66666666666667,7,5.5,5.5,5.75,3.4,1,6,4,2,3,3,1,3,1
session_41-MP,PHASE,iism-kd2-b14,875,"",session_41-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,1,,1,,,,,1,4,1,,,,,1,1,,6,,3.66666666666667,7,1,5,,1,7,7,,1,1,,7,7,,4,1,2.5,1,7,7,2,1,1,1,7,1,2
session_41-MP,PHASE,iism-kd2-b18,876,"",session_41-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,2,,1,,,,,3,1,7,,,,,1,1,7,1,6.5,7,3,6,6,6.5,5,,5,6,1,1,7,6.5,6,6,7,4.5,4.25,4.8,6,7,5,6,1,2,6,1,2
session_41-MP,END,iism-kd2-b12,881,"",session_41-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,3.80952380952381,4.14285714285714,3.57142857142857,3.71428571428571,,,,6,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,END,iism-kd2-b14,880,"",session_41-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,4.23809523809524,3.71428571428571,4.42857142857143,4.57142857142857,,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-MP,END,iism-kd2-b18,879,"",session_41-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,4.52380952380952,,3.71428571428571,5,,,,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-SP,START,iism-kd2-b16,858,"",session_41-SP_iism-kd2-b16,SP,27,F,R,Indonesian (Bahasa Indonesia),C1,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,Y,Y,"","",Y,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-SP,PHASE,iism-kd2-b16,888,"",session_41-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,4,,1,,,,,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_41-SP,END,iism-kd2-b16,889,"",session_41-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,,,,4.47619047619048,4.28571428571429,4.14285714285714,5,,,,2,6,7,6.28571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,START,iism-kd2-b12,890,"",session_43-MP_iism-kd2-b12,MP,22,F,R,German,C2,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,"","",Y,"","",Y,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,START,iism-kd2-b14,891,"",session_43-MP_iism-kd2-b14,MP,22,M,R,German,C2,I can see all colors and hues.,Social Sciences > Economics and business,Y,Y,"","","",Y,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,START,iism-kd2-b18,892,"",session_43-MP_iism-kd2-b18,MP,22,M,R,German,C1,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,Y,Y,"","",Y,Y,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,PHASE,iism-kd2-b12,911,"",session_43-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,2,5,4,,,,,2,1,5,,,,,3,2,6,1,5,6,4,2,7,7,2,5,6,4,2,2,7,6,6.66666666666667,6,5.5,4,5.75,,3,6,4,2,2,2,3,2,3
session_43-MP,PHASE,iism-kd2-b14,913,"",session_43-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,3,5,2,,,,,6,6,7,,,,,2,5,4,3,4,5.66666666666667,5,4,4,4.5,6,3,5,5,2,2,5,5.5,4,5,3,5,5,4,5,5,4,4,2,6,3,6,3
session_43-MP,PHASE,iism-kd2-b18,912,"",session_43-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,6,6,4,,,,,5,5,6,,,,,2,2,3,4,3.5,4.33333333333333,4,5,6,4,5,2,6,3,2,4,5,3,3,5.33333333333333,3.5,2,4.5,1.6,3,5,3,4,5,5,5,4,2
