SessionID,SubjectID,Treatment,Condition,Order,flowFKS_9,flowProne.General
session_33-MP,session_33_iism-kd2-b12_MP,MP,1,3,3.88888888888889,3.71428571428571
session_33-MP,session_33_iism-kd2-b14_MP,MP,1,3,4.11111111111111,4
session_33-MP,session_33_iism-kd2-b18_MP,MP,1,3,5,4.14285714285714
session_33-MP,session_33_iism-kd2-b14_MP,MP,2,1,4.77777777777778,4
session_33-MP,session_33_iism-kd2-b18_MP,MP,2,1,5.11111111111111,4.14285714285714
session_33-MP,session_33_iism-kd2-b14_MP,MP,3,2,5,4
session_33-MP,session_33_iism-kd2-b18_MP,MP,3,2,4.77777777777778,4.14285714285714
session_33-MP,session_33_iism-kd2-b12_MP,MP,4,4,2.22222222222222,3.71428571428571
session_33-MP,session_33_iism-kd2-b14_MP,MP,4,4,3.88888888888889,4
session_33-MP,session_33_iism-kd2-b18_MP,MP,4,4,3.88888888888889,4.14285714285714
session_36-SP,session_36_iism-kd2-b16_SP,SP,1,3,4.22222222222222,3.85714285714286
session_36-SP,session_36_iism-kd2-b16_SP,SP,2,1,5.55555555555556,3.85714285714286
session_36-SP,session_36_iism-kd2-b16_SP,SP,3,2,5.77777777777778,3.85714285714286
session_36-SP,session_36_iism-kd2-b16_SP,SP,4,4,3,3.85714285714286
session_38-MP,session_38_iism-kd2-b12_MP,MP,1,2,4.44444444444444,3.95238095238095
session_38-MP,session_38_iism-kd2-b14_MP,MP,1,2,3.33333333333333,4.14285714285714
session_38-MP,session_38_iism-kd2-b18_MP,MP,1,2,3.88888888888889,3.71428571428571
session_38-MP,session_38_iism-kd2-b12_MP,MP,2,4,2.88888888888889,3.95238095238095
session_38-MP,session_38_iism-kd2-b14_MP,MP,2,4,3,4.14285714285714
session_38-MP,session_38_iism-kd2-b18_MP,MP,2,4,3.77777777777778,3.71428571428571
session_38-MP,session_38_iism-kd2-b12_MP,MP,3,3,3.11111111111111,3.95238095238095
session_38-MP,session_38_iism-kd2-b14_MP,MP,3,3,3.44444444444444,4.14285714285714
session_38-MP,session_38_iism-kd2-b18_MP,MP,3,3,4.11111111111111,3.71428571428571
session_38-MP,session_38_iism-kd2-b12_MP,MP,4,1,4.22222222222222,3.95238095238095
session_38-MP,session_38_iism-kd2-b14_MP,MP,4,1,4.66666666666667,4.14285714285714
session_38-MP,session_38_iism-kd2-b18_MP,MP,4,1,3.66666666666667,3.71428571428571
session_39-MP,session_39_iism-kd2-b12_MP,MP,1,4,6.44444444444445,4.28571428571429
session_39-MP,session_39_iism-kd2-b14_MP,MP,1,4,3.88888888888889,3.85714285714286
session_39-MP,session_39_iism-kd2-b18_MP,MP,1,4,4.55555555555556,4.23809523809524
session_39-MP,session_39_iism-kd2-b12_MP,MP,2,3,5.11111111111111,4.28571428571429
session_39-MP,session_39_iism-kd2-b14_MP,MP,2,3,3.66666666666667,3.85714285714286
session_39-MP,session_39_iism-kd2-b18_MP,MP,2,3,4.22222222222222,4.23809523809524
session_39-MP,session_39_iism-kd2-b12_MP,MP,3,1,6.33333333333333,4.28571428571429
session_39-MP,session_39_iism-kd2-b14_MP,MP,3,1,3.88888888888889,3.85714285714286
session_39-MP,session_39_iism-kd2-b18_MP,MP,3,1,4.55555555555556,4.23809523809524
session_39-MP,session_39_iism-kd2-b12_MP,MP,4,2,3.88888888888889,4.28571428571429
session_39-MP,session_39_iism-kd2-b14_MP,MP,4,2,3.22222222222222,3.85714285714286
session_39-MP,session_39_iism-kd2-b18_MP,MP,4,2,4,4.23809523809524
session_39-SP,session_39_iism-kd2-b16_SP,SP,1,2,4.88888888888889,3.14285714285714
session_39-SP,session_39_iism-kd2-b16_SP,SP,2,4,2.88888888888889,3.14285714285714
session_39-SP,session_39_iism-kd2-b16_SP,SP,3,3,4.33333333333333,3.14285714285714
session_39-SP,session_39_iism-kd2-b16_SP,SP,4,1,4.33333333333333,3.14285714285714
session_41-MP,session_41_iism-kd2-b12_MP,MP,1,3,3.88888888888889,3.80952380952381
session_41-MP,session_41_iism-kd2-b14_MP,MP,1,3,3.33333333333333,4.23809523809524
session_41-MP,session_41_iism-kd2-b18_MP,MP,1,3,5.33333333333333,4.52380952380952
session_41-MP,session_41_iism-kd2-b12_MP,MP,2,1,5.33333333333333,3.80952380952381
session_41-MP,session_41_iism-kd2-b14_MP,MP,2,1,3.44444444444444,4.23809523809524
session_41-MP,session_41_iism-kd2-b18_MP,MP,2,1,5.66666666666667,4.52380952380952
session_41-MP,session_41_iism-kd2-b12_MP,MP,3,2,6.66666666666667,3.80952380952381
session_41-MP,session_41_iism-kd2-b18_MP,MP,3,2,5.33333333333333,4.52380952380952
session_41-MP,session_41_iism-kd2-b12_MP,MP,4,4,2.66666666666667,3.80952380952381
session_41-MP,session_41_iism-kd2-b14_MP,MP,4,4,2.55555555555556,4.23809523809524
session_41-MP,session_41_iism-kd2-b18_MP,MP,4,4,5.11111111111111,4.52380952380952
session_41-SP,session_41_iism-kd2-b16_SP,SP,1,1,4.55555555555556,4.47619047619048
session_41-SP,session_41_iism-kd2-b16_SP,SP,2,2,6.33333333333333,4.47619047619048
session_41-SP,session_41_iism-kd2-b16_SP,SP,3,4,7,4.47619047619048
session_41-SP,session_41_iism-kd2-b16_SP,SP,4,3,5.66666666666667,4.47619047619048
session_43-MP,session_43_iism-kd2-b12_MP,MP,1,2,4,4.04761904761905
session_43-MP,session_43_iism-kd2-b14_MP,MP,1,2,5.44444444444445,4.04761904761905
session_43-MP,session_43_iism-kd2-b18_MP,MP,1,2,3.66666666666667,3.47619047619048
session_43-MP,session_43_iism-kd2-b12_MP,MP,2,4,5.33333333333333,4.04761904761905
session_43-MP,session_43_iism-kd2-b14_MP,MP,2,4,3.22222222222222,4.04761904761905
session_43-MP,session_43_iism-kd2-b18_MP,MP,2,4,4.88888888888889,3.47619047619048
session_43-MP,session_43_iism-kd2-b12_MP,MP,3,3,5.33333333333333,4.04761904761905
