"participant.code","team_id","condition","hp_easy_points","hp_optimal_points","hp_hard_points","hp_easy_discussion_time","hp_optimal_discussion_time","hp_hard_discussion_time","hp_easy_next_button","hp_optimal_next_button","hp_hard_next_button"
"nxry7itw","1dv6li5p_GRBHAEDGQ5","jitsi",10,15,10,222.36,262.323,250.267,TRUE,TRUE,TRUE
"50k2ak4c","1dv6li5p_W6J5IC19WK","jitsi",15,10,10,59.281,173.365,278.928,TRUE,TRUE,TRUE
"tgr8n2gx","4k4ynjkb_TU4EYUAAEE","chat",15,10,15,166.62,300.09,198.053,TRUE,TRUE,TRUE
"ey9qa8hr","5cbg3uhn_3NCP2BYQ8E","chat",15,15,15,300.026,153.15,228.541,TRUE,TRUE,TRUE
"y2iadsab","5cbg3uhn_Z27ISZ2B9X","chat",10,15,15,300.077,300.029,300.137,TRUE,TRUE,TRUE
"ru56zfjx","5pp0w4ir_4S6XAQIA0E","chat",15,15,10,300.032,102.947,300.044,TRUE,TRUE,TRUE
"pnnxousf","5pp0w4ir_LS56QC86PR","chat",15,15,15,137.366,219.776,276.54,TRUE,TRUE,TRUE
"bgceom04","5pp0w4ir_U4KUALH0AA","chat",15,15,10,218.492,300.038,300.078,TRUE,TRUE,TRUE
"j7t9ix00","6psdsbxm_AI0X032CTS","jitsi",15,15,10,96.636,147.712,269.959,TRUE,TRUE,TRUE
"ns5ajdzd","7r4x2y27_8QLQNF5Q1A","jitsi",10,15,15,126.472,300.031,270.465,TRUE,TRUE,TRUE
"fztk3qcx","7r4x2y27_HFU9HBJK4X","jitsi",15,15,15,152.785,300.035,300.051,TRUE,TRUE,TRUE
"11acb578","89vmiwh4_4R6MOPQL2T","chat",10,15,15,294.962,214.899,284.754,TRUE,TRUE,TRUE
"98i9bafc","89vmiwh4_P6KZRYK3RZ","chat",15,15,10,139.501,300.23,299.849,TRUE,TRUE,TRUE
"x4q7sojo","89vmiwh4_WUC5X7WEEJ","chat",15,10,15,300.076,300.067,300.005,TRUE,TRUE,TRUE
"fvqtvezo","9239f1x4_G6VQMQ3HLQ","jitsi",15,10,15,300.094,300.19,300.009,TRUE,TRUE,TRUE
"nmzv86at","9239f1x4_NEJLKTOB6I","jitsi",15,10,15,294.316,300.101,285.821,TRUE,TRUE,TRUE
"vy3vevfc","9r9p4woi_3MNBJRG4HP","chat",15,15,10,300.046,300.135,300.072,TRUE,TRUE,TRUE
"5vscsw35","a28vvwro_7KHC4S4MF4","jitsi",15,15,15,282.953,300.033,250.828,TRUE,TRUE,TRUE
"nbo1yc1l","a28vvwro_Z0M64BVTYR","jitsi",15,15,15,300.076,260.707,255.078,TRUE,TRUE,TRUE
"xhiuzfzo","codxiil4_S3RZS3WFLA","chat",15,15,15,169.112,195.753,300.205,TRUE,TRUE,TRUE
"88rxyzxi","eft5z7p2_P82P6RXPWR","jitsi",15,15,15,206.649,231.506,49.876,TRUE,TRUE,TRUE
"8bssakpc","eft5z7p2_UNKHBAJEZX","jitsi",15,15,10,145.52,237.589,206.164,TRUE,TRUE,TRUE
"6e2cy8qw","eft5z7p2_WKX9WKQJHK","jitsi",15,15,10,300.078,236.151,272.133,TRUE,TRUE,TRUE
"5clw7m9q","gpiyfg5m_5IH1ZUP6JG","chat",15,10,10,246.041,295.417,300.055,TRUE,TRUE,TRUE
"0fakmdd1","hl0w9n42_LEY3YMSLBH","jitsi",10,15,15,280.781,277.259,243.907,TRUE,TRUE,TRUE
"m7yco20t","hl0w9n42_UBN3R9VAY4","jitsi",15,15,10,75.647,259.023,300.426,TRUE,TRUE,TRUE
"4y58f7pn","ht2tpvxx_06HMN4B79X","jitsi",15,15,15,108.299,228.567,138.785,TRUE,TRUE,TRUE
"xpb24goq","ht2tpvxx_51QA2QE8AG","jitsi",15,15,15,100.243,295.023,300.071,TRUE,TRUE,TRUE
"alvige9u","ht2tpvxx_S3DZ4NDSC0","jitsi",15,10,10,280.237,213.095,218.4,TRUE,TRUE,TRUE
"d3kgvhu8","ktkvejty_NY4T27GQBX","chat",15,10,10,300.078,300.079,264.37,TRUE,TRUE,TRUE
"4god9rit","ktkvejty_OTUDMWN9FG","chat",15,15,15,279.182,238.489,300.025,TRUE,TRUE,TRUE
"a58maf6x","sqxavppu_D6EWF35045","chat",15,15,15,300.009,300.007,300.018,TRUE,TRUE,TRUE
"54jyvztp","sqxavppu_Q4TQKZCN7Q","chat",10,15,15,NA,300.005,NA,TRUE,TRUE,TRUE
"1yhiz6zs","t3qwth58_3J7K0L3FVA","chat",15,15,10,NA,300.012,300.003,TRUE,TRUE,TRUE
"2i2eejgs","t3qwth58_KXLZG0FDAC","chat",10,15,10,NA,NA,NA,TRUE,TRUE,TRUE
"rao64gpx","tin0pwza_2OMGBSTZCC","chat",15,10,10,191.592,276.355,300.04,TRUE,TRUE,TRUE
"ejprc0pu","tin0pwza_8PCAYSVWDS","chat",15,15,10,267.856,300.025,243.819,TRUE,TRUE,TRUE
"m8bx0r12","xdmgzj57_M37YBZDI2C","jitsi",15,15,15,192.028,261.296,185.659,TRUE,TRUE,TRUE
"l43k071t","xdmgzj57_ZDGDIXZZSI","jitsi",15,15,15,42,81.361,124.002,TRUE,TRUE,TRUE
"62dz23if","y2gglylr_BGAYT3VGBB","jitsi",15,15,10,254.649,300.135,300.172,TRUE,TRUE,TRUE
